S.No,Name of Drugs/medical device/cosmetic,Batch No./Date of Manufacture/Date of Expiry/Manufactured By,Reason for failure,Drawn By / From
1.0,Telmirid-40 (Telmisartan Tablets I.P. 40 mg),"B. No.: RT220651, Mfg dt: 08/2022, Exp dt: 07/2024, Mfd by: M/s. Ridley Life Sciences Pvt. Ltd., D- 1651, DSIDC, Indl. Complex, Narela, Delhi 110 040.",Dissolution,"CDSCO, CDTL Kolkata, East Zone Kolkata"
2.0,Domperidone Tablets I.P. 10 mg,"B. No.: 3100422, Mfg dt: 07/2022, Exp dt: 06/2025, Mfd by: M/s. Karnataka Antibiotics & Pharmaceuticals Limited, Plot No. 14 II Phase, Peenya, Bengaluru - 560 058.",Related Substances,"CDTL Kolkata, CDSCO East Zone Kolkata"
3.0,Pioglitazone Hydrochloride Tablets IP 30 mg,"B. No.: GM21077, Mfg dt: 08/2021, Exp dt: 07/2023, Mfd by: M/s. Skymap Pharmaceuticals Pvt. Ltd., B-3, Dev Bhoomi Industrial Estate, Puhana Iqbalpur Road, Roorkee -247667 Uttarakhand.",Dissolution,"CDSCO, CDTL Kolkata, East Zone Kolkata"
4.0,Domperidone Tablets I.P. 10 mg,"B. No.: T-2203140, Mfg dt: 03/2022, Exp dt: 02/2024, Mfd by: M/s. Rivpra Formulation Pvt. Ltd., Plot No. 8, Sector -6A, I.I.E. Sidcul, Haridwar - 249 403 Uttarakhand.",Related Substances,"CDSCO, CDTL East Zone Kolkata"
5.0,Domperidone Tablets I.P. 10 mg,"B. No.: T-2203139, Mfg dt: 03/2022, Exp dt: 02/2024, Mfd by: M/s. Rivpra Formulation Pvt. Ltd., Plot No. 8, Sector -6A, I.I.E. Sidcul, Haridwar 249 403 Uttarakhand.",Related Substances,"CDTL Kolkata, CDSCO East Zone Kolkata"
6.0,Gabapentin Tablets I.P.,"B. No.: 22S1GTB467, Mfg dt: 11/2022, Exp dt: 10/2024, Mfd by: M/s. Synokem Pharmaceuticals Ltd., Plot No. 35-36, Sector- 6A, I.I.E (SIDCUL), Ranipur (BHEL), Haridwar - 249 403, Uttarakhand.",Related Substances,"CDSCO, CDTL East Zone Kolkata"
7.0,Gabon-300 Tablets (Gabapentin Tablets I.P.),"B. No.: MT225040, Mfg dt: 11/2022, Exp dt: 10/2024, Mfd by: M/s. Mascot Health Series Pvt. Ltd., Plot No. 79, 80, Sec - 6A, I.I.E., (SIDCUL), Haridwar - 249 403 Uttarakhand, India.",Related Substances,"CDSCO, CDTL Kolkata, East Zone Kolkata"
8.0,"Rolled Bandage (Non Sterilized, Size 15cm x 4 mts.)","B. No.: 637, Mfg dt: 03/2022, Exp dt: 02/2024, Mfd by: M/s. Disha Surgicals Pvt. Ltd., 145, Sai Puram, Delhi Road, Meerut 250002 Uttar Pradesh.","Threads per dm (Warp & Weft), Weight in gm per m2 & Fluorescence","CDSCO, CDTL West Zone, Kolkata Mumbai"
9.0,Absorbent Cotton Wool I.P.,"B. No.: 636, Mfg dt: 10/2022, Exp dt: 2 years, Mfd by: M/s. Jajoo Surgicals Pvt. Ltd., Unit 1: 61A/62, Industrial Area No. 3, A.B. Road, Dewas -455001 (MP), India, Unit 2: 82-B-83C, Industrial Area No. 1, A.B. Road, Dewas 455 001 (MP), India.","Surface Active Substances, Sinking Time & Sulphated ash","CDSCO, CDTL West Zone, Kolkata Mumbai"
10.0,DACILON 0.5 (Dactinomycin for Injection USP 0.5 mg),"B. No.: DMI2243AC, Mfg dt: 12/2022, Exp dt: 11/2025, Mfd by: M/s. Celon Laboratories Pvt. Ltd., Plot No.2, ALEAP Industrial Estate, Gajularamaram, Medchal Dist. 500090, Telangana State, India.",Appearance & Assay,"CDSCO Hyderabad, CDTL Kolkata"
11.0,Rivastigmine Tartarate,"B. No.: 20201201, Mfg dt: Nil, Exp dt: Nil, Mfd by: M/s. Nil","Identification, Assay & Water","CDSCO Hyderabad, CDTL Kolkata"
