SI. No,Name of the Tablet,Mfd Date,Batch No,Exp Date,Mfd By,Reason for declared Spurious/ Counterfeit
1.0,Metformin and sitagliptin Tablet IP 500mg/50mg JANUMET,Aug 2025,JAA25047,Jul 2027,"M/s. MSD Pharmaceuticals Pvt Ltd, At. M/s. Recipharm Pharmaceuticals Pvt Ltd Khata No.845/713, and 1108/970/1, 34th K.M. Tumkur Road, T.Begur, Neelmangala, Bangalore rural- 562123.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
2.0,Fexofenadine Hydrochloride Tablet IP 120mg10mg/ ALLEGRA M,Jan 2025,5NG006,Dec 2026,"M/s. Sanofi India Limited, L-121, Verna Industrial Estate, Verna, Goa-403 722.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
3.0,Ketorolac Tromethamine Dispersible Tablets 10 mg KETOROL DT,Mar 2025,E2500633,Feb 2028,"M/s. Dr. Reddys Laboratories Ltd, Village Mauja Thana, Nalagarh Road, Baddi, Dist. Solan, H.P-173 205.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
4.0,Ramipril Tablets IP CARDACE 5,Oct- 2024,4NG022,Sep- 2027,"M/s. Sanofi India Limited, L-121, Verna Industrial Estate, Verna, Goa-403 722.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
5.0,Losartan Tablets IP LOSAR-25,Feb- 2025,9FY7M004,Jan- 2026,"M/s. Torrent Pharmaceuticals ltd, Unit-III, NH-10, Village, Bagheykhola, P.O, Majhitar, Rangpo, East District, Gangtok, Sikkim-737 136.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
6.0,Salmeterol and fluticasone Propionate Inhalation I.P ESIFLO 125 Trans inhaler With Dose Indicator 120 Metered dose,02/2024,JA00312,01/2026,"M/s. Lupin ltd, ERIP, SIDCO Industrial estate, kartholi, Bari Brahmana, Jammu (J&K)-181133, India.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
7.0,Levocetirizine Dihydrochloride & Montelukast Sodium Syrup TELEKAST-L Kid syrup,JUN- 2024,TLK24002,MAY- 2026,"M/s. Tirupati Medicare Limited, Nahan road, Paonta Sahib, Distt. Sirmour (H.P)-173 025, India. Mkd by: M/s.Lupin Ltd, 159, C.S.T, ROAD, Kalina, Santacurz, Sikkim- 737132, India",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
8.0,Fomoterol Fumarate and Budesonide Powder for Inhalation I.P Budamate Forte,06/2024,UA01348,11/2025,"M/s. Lupin ltd, 4th, Mile Bhasmey Karmarey, Bhasmey block, Duga ilaka, Sikkim-737 132, India",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
9.0,Levofloxacin Tablets I.P 250 mg L-CIN 250,08/2024,JA02037,07/2026,"M/s.Lupin ltd, ERIP, SIDCO Industrial estate, kartholi, Bari Brahmana, Jammu (J&K)-181133, India.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
10.0,Levetiracetam Tablets IP LEVIPIL 250,01/2024,GTF0278A,12/2025,"M/s.Sunpharma Laboratories Ltd, Vill. Kakjhar, Mirza, Palashabari Road, P.O. Palashbari Dist. Kamrup, Assam- 781128.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
11.0,Losartan Potassium and Hydrochlorothiazide Tablets I.P 50MG+12.5MG LOSAR-H,Jan- 2025,9PB2L041,Dec- 2027,"Unit-III, NH10-, Gangtok, Sikkim-737",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
12.0,Vildagliptin and Metformin Hydrochloride Tablets IP 50mg/500mg JALRA-M,DEC- 2024,6RA12030A,NOV- 2026,"M/s. Torrent Pharmaceuticals Ltd, Village: Bagheykhola, P.O: Majhitar, Rangpo, East District, 136",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
13.0,Vildagliptin Tablets IP 50 mg JALRA 50 MG,12/2024,48019833,11/2026,"M/s.MSN Laboratories Private Limited, Formulations division, Unit-06, Sy.No.(Parts of), 745, 811-813, 824 & 825, Burgul Village, Farooqnagar Mandal, Ranga Reddy, District, Pin code 509 202, Telangana State, India. MKT BY: USV Private Limited B.S.D. Marg, Govandi, Mumbai-400 088",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
14.0,Metformin and Sitagliptin Tablet BP 1000mg/50mg JANUMET,06/2025,JAB25019,05/2027,"M/s. USV Private Limited, Khasra.no.13 42/1/2, Hilltop Industrial Area, Jharmajri, Baddi, Dist. Solan, Himachal Pradesh173 -205.",Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.
