65.,"Aceclofenac and
Thiocolchicoside
Tablets (Acetan-
TH Tablets)","B. No.: RT-190622
Mfg dt: 06/2022
Exp dt: 05/2024
Mfd by: M/s. Renowed
Life Sciences, HACCP &
ISO 9001:2015
Certified Co. Plot No.12,
Sector-6B, SIDCUL,
Haridwar-249403,
Uttarakhand (INDIA).","Assay of
Aceclofenac","Drug
Control
Department
Himarchal
Pradesh","RDTL
Chandigarh"
1.,"Rabeprazole
Gastro Resistant
Tablets IP 20 mg","B. No.: RRZT-023
Mfg dt: 12/2021
Exp dt: 11/2023
Mfd by: M/s. Revat
Laboratories Pvt. Ltd.
12-321, Opp. I.D.A.
Kurnool Road,
Pernamitta, Ongole –
523002, Andhra Pradesh.","Assay of
Rabeprazole
Sodium and
Description","Drug
Control
Department
Bihar","RDTL
Guwahati"
2.,"Rabeprazole
Gastro Resistant
Tablets IP 20 mg","B. No.: RRZT-021
Mfg dt: 12/2021
Exp dt: 11/2023
Mfd by: M/s. Revat
Laboratories Pvt. Ltd.
12-321, Opp. I.D.A.
Kurnool Road,
Pernamitta, Ongole –
523002, Andhra Pradesh.","Assay of
Rabeprazole
Sodium and
Description","Drug
Control
Department
Bihar","RDTL
Guwahati"
3.,"CIPROFLOXACIN
HYDROCHLORID
E TABLETS I.P.
500 mg","B. No.: 0701522
Mfg dt: 06/2022
Exp dt: 05/2025
Mfd by: M/s. Karnataka
Antibiotics &
Pharmaceuticals Limited,
Plot No. 14, II Phase,
Peenya, Bengaluru – 560
058.",Dissolution,"Drug
Control
Department
Jharkhand","RDTL
Guwahati"
4.,"Lvcipro-500
(Ciprofloxacin
Hydrochloride
Tablets IP)","B. No.: LV22CT-691
Mfg dt: 03/2022
Exp dt: 02/2024
Mfd by: M/s. L V Life
Sciences, VPO
Gurumajra, Baddi,
Distt. Solan, Himachal",Dissolution,"Drug
Control
Department
Jharkhand","RDTL
Guwahati"
5.,"Ciprofloxacin
Tablets IP 500 mg
Cipronir 500","B. No.: CCF111004
Mfg dt: 11/2021
Exp dt: 10/2024
Mfd by: M/s. Celebrity
Biopharma Ltd.
Village-Panga, Via-
Jharmajri, Hill Top Estate,
Barotiwala, Distt-solan,
Himachal Pradesh-
174103.",Dissolution,"Drug
Control
Department
Jharkhand","RDTL
Guwahati"
6.,"Zinc Sulphate Oral
Solution I.P.,
100ml","B. No.: ZS1-21-224
Mfg dt: 01/2022
Exp dt: 12/2023
Mfd by: M/s. Ornate Labs
Pvt. Ltd. Bela Industrial
Estate, Muzaffarpur-
842005, Bihar.",Weight per ml,"Drug
Control
Department
Bihar","RDTL
Guwahati"
7.,"Zinc Sulphate Oral
Solution I.P.,
100ml","B. No.: ZCH-2207
Mfg dt: 01/2022
Exp dt: 12/2023
Mfd by: M/s. Apple
Formulations Pvt. Ltd.
Plot No. 208 Kishanpur,
Roorkee-247667,
Uttarakhand.",Weight per ml,"Drug
Control
Department
Bihar","RDTL
Guwahati"
8.,"Telmisartan
Tablets IP 40 mg","B. No.: TETY-01
Mfg dt: 04/2021
Exp dt: 03/2023
Mfd by: M/s. NESTOR
PHARMACEUTICALS
LIMITED. 11, Western
Extension Area,
Faridabad-121 001,
Haryana, INDIA.",Dissolution,"Drug
Control
Department
Jharkhand","RDTL
Guwahati"
9.,"Itraconazole
Capsules B.P.
100 mg","B. No.: CH2006A
Mfg dt: 08/2022
Exp dt: 07/2024
Mfd by: M/s. NAVKAR
LIFESCIENCES, Plot No.
76, Lodhi Majra,
Industrial Area, Baddi,
Distt. Solan, Himachal",Dissolution,"Drug
Control
Department
Assam","RDTL
Guwahati"
10.,"B-complex
capsules","B. No.: UGC22020
Mfg dt: 01/2022
Exp dt: 06/2023
Mfd by: M/s. UNIMARCK
HEALTHCARE LTD., Plot
No. 24, 25 & 37, Sector-
6A, SIDCUL, Haridwar-
249 403 Uttarakhand.",Description,"Drug
Control
Department
Bihar","RDTL
Guwahati"
11.,"ABSORBENT
COTTON WOOL
I.P.","B. No.: 1786
Mfg dt: 05/2021
Exp dt: 04/2024
Mfd by: M/s. Om Surgical
Industries, V & P.O. Titoli,
Jind Road, Rohtak- 124
001, Haryana.",NEPS,"Drug
Control
Department
Assam","RDTL
Guwahati"
